City,Business Name,Street Address,Zip Code,Phone Number,Provider Type,Primary Services
Ainsworth,Ainsworth Auto Repair Service,210 S Main St,69210,(402) 387-2241,Independent Local Specialist,"Heavy Off-road Upkeep, Fuel Prep"
Alliance,Taylor's Auto Repair & Salvage,6971 Otoe Rd,69301,(308) 762-7208,Independent Local Specialist,"Core Sourcing, Mechanical Restoration"
Auburn,Auburn Auto Diagnostic Clinic,1920 J St,68305,(402) 274-4411,Independent Local Specialist,"Manifold Sensor Decodes, Valve Overhauls"
Aurora,Aurora Tire & Wheel Specialist,1103 16th St,68818,(402) 694-3112,Independent Local Specialist,Commercial Truck Tread Tracking & Alignment
Bayard,Bayard Auto Clinic,310 Main St,69334,(308) 586-2200,Independent Local Specialist,"General Hydraulic Braking, Tube Repair"
Beatrice,Beatrice Car Care Corner,510 Court St,68310,(402) 228-3341,Independent Local Specialist,"Fluid Flushes, Cooling Core Integration"
Beatrice,Midas Beatrice Shop,120 N 6th St,68310,(402) 223-2311,National Chain,"Exhaust Systems, Structural Brakes, Oil Changes"
Bellevue,Bellevue Auto Service,1009 Galvin Rd S,68005,(402) 291-5300,Independent Local Specialist,"Tune-ups, Filter Swaps, System Diagnostics"
Bellevue,Jensen Tire & Auto,1602 Galvin Rd S,68005,(402) 291-8800,Major Regional Chain,"Tire Sales, Wheel Alignment, Shocks & Braking"
Blair,Blair Tire & Auto Service,1210 Washington St,60008,(402) 426-3400,Independent Local Specialist,"Laser Alignments, Structural Tread Patching"
Bridgeport,Bridgeport Auto Repairs,502 Main St,69336,(308) 262-5501,Independent Local Specialist,"Calipers, Ceramic Pads, Lubrication Flushes"
Broken Bow,Broken Bow Auto Diagnostic,810 S C St,68822,(308) 872-3345,Independent Local Specialist,"Water Pumps, Thermostats, Base Tuning"
Chadron,Chadron Auto Maintenance Shop,250 Main St,69337,(308) 432-5591,Independent Local Specialist,"Cold Cranking Amps Testing, Glycol Service"
Columbus,D & Dan Auto Repair,4611 23rd St,68601,(402) 563-1620,Independent Local Specialist,"Chassis Realignment, Electrical Tracing"
Columbus,Firestone Service Provider,3204 23rd St,68601,(402) 564-3291,National Chain Franchise,"Tire Integration, Brakes, Maintenance"
Cozad,Cozad Performance & Repair,110 N Meridian Ave,69130,(308) 784-5512,Independent Local Specialist,"MacPherson Strut Setup, High Performance Tuning"
Crete,Crete Auto & Tire World,110 E 13th St,68333,(402) 826-4488,Independent Local Specialist,"Domestic Mechanics, Custom Balancers"
David City,David City Auto Tech Shop,390 E 11th St,68632,(402) 367-5511,Independent Local Specialist,"Stator & Alternator Overhauls, Starters"
Elkhorn,Jensen Tire & Auto,2707 N Main St,68022,(402) 289-5055,Major Regional Chain,"Tires, Complete Fluid Care, Chassis Alignment"
Fairbury,Fairbury Auto Repair Center,610 D St,68352,(402) 729-3310,Independent Local Specialist,"Exhaust Structural Welding, Shocks"
Falls City,Falls City Automotive Inc.,1410 Harlan St,68355,(402) 245-5600,Independent Local Specialist,"Ignition Distributors, Engine Sensors"
Fremont,Fremont Auto Tech,1835 N Broad St,68025,(402) 721-2270,Independent Local Specialist,"Anti-Lock Brake Calibration, Radiators"
Fremont,Jensen Tire & Auto,3100 E 24th St,68025,(402) 721-9300,Major Regional Chain,"Tires, Shocks, Complete Auto Undercarriage"
Geneva,Geneva Auto Precision,815 G St,68361,(402) 759-4405,Independent Local Specialist,"Air Con Evaporators, Brake Pad Machining"
Gering,Gering Valley Auto Repair,2010 10th St,69341,(308) 436-4112,Independent Local Specialist,"Strut Tower Assembly, Lube Kits"
Gordon,Gordon Mechanical Shop,210 N Main St,69343,(308) 282-4410,Independent Local Specialist,"Sub-zero Winter Prep, Tractor Engine Support"
Gothenburg,Gothenburg Auto Service,910 Lake Ave,69138,(308) 537-2244,Independent Local Specialist,"Transmission Fluid Recirculation, Balancing"
Grand Island,Town & Country Towing & Repair,310 E Capital Ave,68801,(308) 381-6723,Independent Local Specialist,Commercial Diesel & Automotive Support
Grand Island,Grand Island Automotive,1204 W 2nd St,68801,(308) 384-2200,Independent Local Specialist,"Tailpipe Controls, Wheel Balancing"
Grand Island,Firestone Complete Auto Care,2204 N Webb Rd,68803,(308) 382-4550,National Chain,"Tires, Engine Maintenance, Diagnostics"
Gretna,Gretna Auto Center,20525 Westwood Ln,68028,(402) 332-5500,Independent Local Specialist,"Suspension, Transmissions & Custom Wheel Fitting"
Hartington,Hartington Auto Diagnostic,102 W Main St,68739,(402) 254-6612,Independent Local Specialist,"Multi-link Alignments, Custom Ignition Mapping"
Hastings,Hastings Car Care Center,705 Burlington Ave,68901,(402) 463-5689,Independent Local Specialist,"Powertrain Evaluation, Starter Replacements"
Hastings,Midas Auto Service Center,1104 Osborne Dr West,68901,(402) 462-4114,National Chain,"Brakes, Struts, Exhaust, Oil Updates"
Hickman,Hickman Auto Repair & Towing,120 Locust St,68372,(402) 792-2400,Independent Local Specialist,"Roadside Restoration, Alternators"
Holdrege,Dannull Engine Service,309 W 4th Ave,68949,(308) 995-5434,Independent Local Specialist,"Precision Block Boring, Head Machining"
Imperial,Imperial Auto Center,512 Broadway St,69033,(308) 882-4401,Independent Local Specialist,"Alternator Matching, Crankcase Ventilation"
Kearney,Conrad's Auto Center Inc.,718 3rd Ave,68848,(308) 237-2968,Independent Local Specialist,"Air Conditioning, Alternator Rebuilds"
Kearney,Darin's Auto Repair & Sales,2617 W 24th St,68845,(308) 236-8100,Independent Local Specialist,"Suspension Shocks, Brake Assemblies"
Kearney,Goodyear Auto Service Center,3810 2nd Ave,68847,(308) 234-2588,National Chain,"Chassis Management, Certified Tire Care"
Kimball,Kimball Vehicle Diagnostic,204 S Chestnut St,69145,(308) 235-4411,Independent Local Specialist,"Long-distance Safety Scans, Oil Filters"
Lexington,Lexington Auto Repair Service,609 Pacific St,68850,(308) 324-4322,Independent Local Specialist,"Filter Arrays, Spark Timing Adjustment"
Lincoln,Norm's Car Care,3940 A St,68510,(402) 483-2418,Independent Local Specialist,"Engine Lifters, Commercial Fleet, Alignments"
Lincoln,A & A Auto Inc.,3639 N 40th St,68504,(402) 466-4808,Independent Local Specialist,"OBD2 Coding, Spark Plugs, Electrical Layouts"
Lincoln,Custom Auto Care,2441 N 33rd St,68504,(402) 464-8255,Independent Local Specialist,"Import Tuning, Specialized Powertrains"
Lincoln,Jensen Tire & Auto,5440 O St,68510,(402) 464-1100,Major Regional Chain,"Full Mechanical Inspection, Tires, Suspensions"
Lincoln,Jensen Tire & Auto,2001 South St,68502,(402) 475-4200,Major Regional Chain,"Tires, Wheels, Brake Systems, Routine Lube"
Lincoln,Firestone Complete Auto Care,2740 O St,68510,(402) 475-1021,National Chain,Comprehensive Structural & Engine Repairs
McCook,McCook Auto & Truck Service,402 West B St,69001,(308) 345-5560,Independent Local Specialist,"Commercial Drum Braking, Drivetrains"
Minden,Minden Car Care Garage,321 N Colorado Ave,68959,(308) 832-5501,Independent Local Specialist,"Chassis Rotations, Compression Checks"
Nebraska City,River City Mechanics,1223 Central Ave,64810,(402) 873-4500,Independent Local Specialist,"Chassis Support, Safety Compliance Checks"
Norfolk,Norfolk Transmission & Auto Repair,902 S 13th St,68701,(402) 371-3310,Independent Local Specialist,"Torque Converters, Differential Gearing"
Norfolk,Midas Norfolk,1208 S 13th St,67101,(402) 379-2240,National Chain,"Exhaust Systems, Suspension, Engine Fluids"
North Platte,North Platte Auto Logistics,700 E 4th St,69101,(308) 532-4450,Independent Local Specialist,"Fleet Inspections, Air Induction Boxes"
North Platte,Firestone Complete Auto Care,515 S Dewey St,69101,(308) 532-3400,National Chain,"Full System Vehicle Care, Batteries"
O'Neill,O'Neill Tire & Auto Repair,502 E Douglas St,68763,(402) 336-2240,Independent Local Specialist,"All-Terrain Suspension Setup, Lubricants"
Ogallala,Ogallala Vehicle Repair Center,105 West 1st St,69153,(308) 284-6612,Independent Local Specialist,"Interstate Diagnostics, Heat Core Replacement"
Omaha,Christian Brothers Automotive,17330 Evans St,68116,(402) 275-5956,Independent Franchise,"Complete Mechanical Overhauls, Tuning"
Omaha,Unique Auto Inc.,4504 Cuming St,68132,(402) 991-3111,Independent Local Specialist,"Transmission, EV Fleet, General Service"
Omaha,Lyle's Complete Automotive Repair,1411 N Saddle Creek Rd,68132,(402) 600-0293,Independent Local Specialist,"Brakes, Diagnostics, Radiators"
Omaha,House of Mufflers & Brakes,2717 Leavenworth St,68105,(402) 603-6709,Independent Local Specialist,"Exhaust Systems, Structural Frame, Struts"
Omaha,Bucky's Express & Service,13204 W Center Rd,68144,(402) 334-1180,Major Chain Service Station,"Light Repairs, Inspection, Oil Care, Fluids"
Omaha,Jensen Tire & Auto,3606 N 156th St,68116,(402) 493-2100,Major Regional Chain,"Tires, Brakes, Alignments, Fluid Services"
Omaha,Jensen Tire & Auto,13131 W Dodge Rd,68154,(402) 496-0300,Major Regional Chain,"Full-Service Automotive Maintenance, Tires"
Omaha,Firestone Complete Auto Care,7540 Dodge St,68114,(402) 397-6200,National Chain,"Engine Diagnostics, AC, Electrical, Brakes"
Omaha,Midas Auto Service,9009 Bedford Ave,68134,(402) 571-7000,National Chain,"Exhaust, Shocks, Struts, Brake Repair"
Ord,Ord Automotive & Towing,1410 L St,68862,(308) 728-5509,Independent Local Specialist,"Wrecker Recovery, Utility Truck Gaskets"
Papillion,Midlands Auto Repair,8425 S 73rd Plaza,68046,(402) 331-5095,Independent Local Specialist,"Timing Belts, Head Gaskets, Electrical Systems"
Papillion,Jensen Tire & Auto,1214 S Washington St,68046,(402) 592-2200,Major Regional Chain,"Tires, Heating/Cooling Systems, Maintenance"
Pierce,Pierce Automotive Repair,208 W Main St,68767,(402) 329-4401,Independent Local Specialist,"Under-chassis Joint Maintenance, Fluid Seals"
Plattsmouth,Plattsmouth Auto Repair,415 Chicago Ave,68048,(402) 296-2233,Independent Local Specialist,"Rotor Surfacing, Vacuum Line Sealing"
Ralston,Ralston Automotive,7639 Park Dr,68127,(402) 331-6200,Independent Local Specialist,General Repair & Underhood Diagnostics
Ravenna,Complete Auto Repair & Sales LLC,113 E Utica,68869,(308) 452-3687,Independent Local Specialist,"Pickup Truck Performance, Gaskets"
Schuyler,Schuyler Garage & Diagnostics,410 Gold St,68661,(402) 352-2340,Independent Local Specialist,"Wrecker Support, Powertrain Failure Fixes"
Scottsbluff,Scottsbluff Auto Clinic,1402 Ave I,69361,(308) 635-3115,Independent Local Specialist,"Transfer Cases, Injector Cleanse"
Scottsbluff,Goodyear Auto Service,714 Avenue I,69361,(308) 632-4411,National Chain,"Tires, Steering Systems, Routine Adjustments"
Seward,Seward Auto Diagnostic Center,234 S 4th St,68434,(402) 643-4554,Independent Local Specialist,"Evaporative Emissions, ABS Electronics"
Sidney,Sidney Auto Tech,1740 Illinois St,69162,(308) 254-2045,Independent Local Specialist,"Rotors, Metallic Pads, Dynamic Balancing"
South Sioux City,South Sioux Automotive,112 W 29th St,68776,(402) 494-8899,Independent Local Specialist,"Rack & Pinion Realignment, Fuel Lines"
St. Paul,St. Paul Auto Clinic,612 Howard Ave,68873,(308) 754-3311,Independent Local Specialist,"Distributor Overhauls, Standard Lubrication"
Superior,Superior Auto Diagnostics,425 Central Ave,68978,(402) 879-3320,Independent Local Specialist,"Radiator Cores, High Pressure Injector Blocks"
Sutton,Sutton Machine & Mechanical,204 S Saunders Ave,68979,(402) 773-4112,Independent Local Specialist,"Farm Implements, Light Commercial Systems"
Tecumseh,Tecumseh Motors & Repair,380 Broadway St,68450,(402) 335-2144,Independent Local Specialist,"Cold Battery Diagnostics, Synthetic Oil Care"
Valentine,Sandhills Auto Repair,312 Cherry St,69201,(408) 376-2110,Independent Local Specialist,"4x4 Locking Hub Assemblies, Alignments"
Wahoo,Wahoo Auto Care Garage,451 N Chestnut St,68066,(402) 443-3110,Independent Local Specialist,"Air Intake Assemblies, Belts, System Filters"
Waverly,Waverly Auto Clinic,10140 N 142nd St,68462,(402) 786-2645,Independent Local Specialist,"General Preventative Upkeep, Belts, Batteries"
Wayne,Wayne Auto Precision,310 S Main St,68787,(402) 375-4412,Independent Local Specialist,"Manifold Updates, Operational Fluids"
West Point,West Point Auto Repair,215 S Lincoln St,68788,(402) 372-5531,Independent Local Specialist,Heavy Agriculture Engine Fitting & Tuning
York,York Automotive Clinic,920 Lincoln Ave,68467,(402) 362-6644,Independent Local Specialist,"Cylinder Mapping, Serpentine Belts"
